reward_trajectory_1 ,reward_trajectory_2 ,reward_trajectory_3 ,reward_trajectory_4 ,reward_trajectory_5 ,reward_trajectory_6 ,timestep ,actor_loss          ,critic_loss
               13.0 ,               13.0 ,               12.0 ,               11.0 ,               11.0 ,               11.0 ,       0 ,0.20635923743247986 ,54.2006950378418
               38.0 ,               33.0 ,               23.0 ,               21.0 ,               21.0 ,               32.0 ,    1200 ,0.6173345446586609  ,49.956886291503906
               29.0 ,               34.0 ,               25.0 ,               28.0 ,               38.0 ,               28.0 ,    2200 ,1.028519630432129   ,46.10173797607422
               42.0 ,               47.0 ,               31.0 ,               38.0 ,               33.0 ,               48.0 ,    3200 ,1.4044721126556396  ,42.44683074951172
               33.0 ,               39.0 ,               51.0 ,               35.0 ,               59.0 ,               37.0 ,    4200 ,1.8877027034759521  ,39.30536651611328
               46.0 ,               34.0 ,               40.0 ,               33.0 ,               65.0 ,               51.0 ,    5200 ,2.3734068870544434  ,36.19422912597656
               38.0 ,               36.0 ,               55.0 ,               64.0 ,               47.0 ,               35.0 ,    6200 ,2.9185032844543457  ,32.865177154541016
               38.0 ,               31.0 ,               33.0 ,               35.0 ,               31.0 ,               35.0 ,    7200 ,3.534092903137207   ,29.83909797668457
               37.0 ,               47.0 ,               78.0 ,               44.0 ,               42.0 ,               50.0 ,    8200 ,4.163794994354248   ,26.681861877441406
               43.0 ,               42.0 ,               50.0 ,               37.0 ,               36.0 ,               30.0 ,    9200 ,4.7220001220703125  ,23.55987548828125
               36.0 ,               45.0 ,               36.0 ,               43.0 ,               41.0 ,               39.0 ,   10200 ,5.372386455535889   ,20.459514617919922
               60.0 ,               52.0 ,               95.0 ,               40.0 ,               69.0 ,               47.0 ,   11200 ,5.825815677642822   ,17.61288833618164
               65.0 ,               72.0 ,               66.0 ,               42.0 ,               57.0 ,               45.0 ,   12200 ,6.133995532989502   ,14.577508926391602
               50.0 ,               95.0 ,              114.0 ,               62.0 ,               65.0 ,               51.0 ,   13200 ,6.268673896789551   ,11.884078979492188
               77.0 ,              112.0 ,               84.0 ,               98.0 ,               82.0 ,               75.0 ,   14200 ,6.220438003540039   , 9.244294166564941
               77.0 ,               83.0 ,               72.0 ,              110.0 ,               90.0 ,               86.0 ,   15200 ,6.07781457901001    , 7.098352909088135
               75.0 ,               95.0 ,               97.0 ,               75.0 ,               88.0 ,               99.0 ,   16200 ,5.795088291168213   , 4.935766220092773
               89.0 ,               73.0 ,               96.0 ,               93.0 ,               99.0 ,               89.0 ,   17200 ,5.508283615112305   , 3.3816113471984863
               73.0 ,               67.0 ,               73.0 ,               76.0 ,               77.0 ,               75.0 ,   18200 ,5.244077682495117   , 2.1046643257141113
               68.0 ,               64.0 ,               65.0 ,               65.0 ,               66.0 ,               75.0 ,   19200 ,5.056381702423096   , 1.1236140727996826
              123.0 ,              110.0 ,               86.0 ,              103.0 ,               93.0 ,               90.0 ,   20000 ,4.93640661239624    , 0.5575931072235107
